gm,date,tm,home_away,opp,result,r,ra,inn,record,rank,gb,win,loss,save,time,day_night,attendance,c_li,streak,orig_scheduled,year,ymd,game_num,is_double_header,dotw
135,"Saturday, Sep 4 (1)",BOS,H,CHW,L,1,3,,76-59,3,10.0,Danks,Buchholz,Jenks,2:53,D,37411,0.62,-1,2010-09-03 (Rain),2010,2010-09-04,1,TRUE,Saturday
136,"Saturday, Sep 4 (2)",BOS,H,CHW,L,1,3,,76-60,3,10.0,Floyd,Lackey,Jenks,3:03,N,37858,0.45,-2,,2010,2010-09-04,2,TRUE,Saturday
137,"Sunday, Sep 5",BOS,H,CHW,L,5,7,,76-61,3,10.0,Linebrink,Papelbon,Thornton,4:05,D,37570,0.37,-3,,2010,2010-09-05,1,FALSE,Sunday
138,"Monday, Sep 6",BOS,H,TBR,W,12,5,,77-61,3,9.0,Lester,Niemann,,3:29,N,37546,0.54,1,,2010,2010-09-06,1,FALSE,Monday
139,"Tuesday, Sep 7",BOS,H,TBR,L,5,14,,77-62,3,9.0,Price,Matsuzaka,,3:16,N,37290,0.77,-1,,2010,2010-09-07,1,FALSE,Tuesday
140,"Wednesday, Sep 8",BOS,H,TBR,W,11,5,,78-62,3,9.0,Wakefield,Garza,,3:17,N,37757,0.41,1,,2010,2010-09-08,1,FALSE,Wednesday
147,"Friday, Sep 17",BOS,H,TOR,L,9,11,,82-65,3,7.0,Cecil,Lackey,Gregg,3:17,N,37679,0.65,-1,,2010,2010-09-17,1,FALSE,Friday
148,"Saturday, Sep 18",BOS,H,TOR,L,3,4,,82-66,3,8.0,Romero,Beckett,Gregg,3:16,N,37863,0.4,-2,,2010,2010-09-18,1,FALSE,Saturday
149,"Sunday, Sep 19",BOS,H,TOR,W,6,0,,83-66,3,7.0,Lester,Marcum,,2:37,D,37234,0.12,1,,2010,2010-09-19,1,FALSE,Sunday
150,"Monday, Sep 20",BOS,H,BAL,L,2,4,,83-67,3,8.0,Hernandez,Matsuzaka,Uehara,3:12,N,37560,0.29,-1,,2010,2010-09-20,1,FALSE,Monday
151,"Tuesday, Sep 21",BOS,H,BAL,L,1,9,,83-68,3,9.0,Bergesen,Atchison,,3:28,N,37464,0.13,-2,,2010,2010-09-21,1,FALSE,Tuesday
152,"Wednesday, Sep 22",BOS,H,BAL,W,6,1,,84-68,3,8.0,Lackey,Millwood,,2:44,N,37729,0.08,1,,2010,2010-09-22,1,FALSE,Wednesday
160,"Saturday, Oct 2 (1)",BOS,H,NYY,L,5,6,10,87-73,3,7.0,Hughes,Papelbon,Rivera,4:18,D,37467,0,-4,2010-10-01 (Rain),2010,2010-10-02,1,TRUE,Saturday
161,"Saturday, Oct 2 (2)",BOS,H,NYY,W-wo,7,6,10,88-73,3,7.0,Manuel,Nova,,4:00,N,37589,0,1,,2010,2010-10-02,2,TRUE,Saturday
162,"Sunday, Oct 3",BOS,H,NYY,W,8,4,,89-73,3,7.0,Lackey,Moseley,,3:09,D,37453,0,2,,2010,2010-10-03,1,FALSE,Sunday
7,"Friday, Apr 8",BOS,H,NYY,W,9,6,,1-6,4,4.5,Lackey,Colón,Papelbon,3:06,D,37178,0.77,1,,2011,2011-04-08,1,FALSE,Friday
8,"Saturday, Apr 9",BOS,H,NYY,L,4,9,,1-7,4,5.0,Robertson,Buchholz,,3:26,D,37488,0.84,-1,,2011,2011-04-09,1,FALSE,Saturday
9,"Sunday, Apr 10",BOS,H,NYY,W,4,0,,2-7,4,4.0,Beckett,Sabathia,,2:58,N,37861,0.83,1,,2011,2011-04-10,1,FALSE,Sunday
10,"Monday, Apr 11",BOS,H,TBR,L,5,16,,2-8,4,4.5,Hellickson,Matsuzaka,,3:29,N,37568,0.8,-1,,2011,2011-04-11,1,FALSE,Monday
11,"Tuesday, Apr 12",BOS,H,TBR,L,2,3,,2-9,5,5.0,Price,Lester,Farnsworth,2:54,N,37015,0.77,-2,,2011,2011-04-12,1,FALSE,Tuesday
12,"Friday, Apr 15",BOS,H,TOR,L,6,7,,2-10,5,5.0,Cecil,Jenks,Rauch,3:47,N,37467,0.7,-3,,2011,2011-04-15,1,FALSE,Friday
13,"Saturday, Apr 16",BOS,H,TOR,W,4,1,,3-10,5,5.0,Beckett,Reyes,Papelbon,3:12,D,37310,0.66,1,,2011,2011-04-16,1,FALSE,Saturday
14,"Sunday, Apr 17",BOS,H,TOR,W,8,1,,4-10,5,5.0,Lester,Litsch,,3:03,D,37802,0.69,2,,2011,2011-04-17,1,FALSE,Sunday
15,"Monday, Apr 18",BOS,H,TOR,W,9,1,,5-10,5,4.5,Matsuzaka,Romero,,2:49,D,37916,0.79,3,,2011,2011-04-18,1,FALSE,Monday
25,"Friday, Apr 29",BOS,H,SEA,L,4,5,,11-14,5,4.0,Vargas,Jenks,League,3:07,N,37845,0.94,-1,,2011,2011-04-29,1,FALSE,Friday
26,"Saturday, Apr 30",BOS,H,SEA,L,0,2,,11-15,5,5.0,Fister,Lackey,League,3:05,N,37901,0.87,-2,,2011,2011-04-30,1,FALSE,Saturday
27,"Sunday, May 1",BOS,H,SEA,W-wo,3,2,,12-15,5,5.0,Papelbon,Wright,,2:39,D,37079,0.82,1,,2011,2011-05-01,1,FALSE,Sunday
28,"Monday, May 2",BOS,H,LAA,W,9,5,,13-15,4,5.0,Buchholz,Weaver,,3:29,N,37017,0.89,2,,2011,2011-05-02,1,FALSE,Monday
29,"Tuesday, May 3",BOS,H,LAA,W,7,3,,14-15,3,4.0,Lester,Haren,,2:41,N,37043,0.9,3,,2011,2011-05-03,1,FALSE,Tuesday
30,"Wednesday, May 4",BOS,H,LAA,L,3,5,13,14-16,4,4.0,Bell,Matsuzaka,,5:00,N,37037,1.02,-1,,2011,2011-05-04,1,FALSE,Wednesday
31,"Thursday, May 5",BOS,H,LAA,L,0,11,,14-17,4,4.0,Piñeiro,Lackey,,3:10,D,37013,0.88,-2,,2011,2011-05-05,1,FALSE,Thursday
32,"Friday, May 6",BOS,H,MIN,L,2,9,,14-18,5,5.0,Baker,Wakefield,,2:37,N,37798,0.79,-3,,2011,2011-05-06,1,FALSE,Friday
33,"Saturday, May 7",BOS,H,MIN,W,4,0,,15-18,3,4.0,Buchholz,Duensing,,2:45,D,37234,0.76,1,,2011,2011-05-07,1,FALSE,Saturday
34,"Sunday, May 8",BOS,H,MIN,W,9,5,,16-18,3,4.0,Matsuzaka,Pavano,,2:53,D,37526,0.87,2,,2011,2011-05-08,1,FALSE,Sunday
35,"Monday, May 9",BOS,H,MIN,W-wo,2,1,11,17-18,3,3.5,Okajima,Hoey,,3:55,N,37276,0.89,3,,2011,2011-05-09,1,FALSE,Monday
41,"Monday, May 16",BOS,H,BAL,W-wo,8,7,,21-20,2,3.0,Aceves,Gregg,,3:53,N,37138,1.18,4,,2011,2011-05-16,1,FALSE,Monday
42,"Wednesday, May 18",BOS,H,DET,W,1,0,,22-20,3,2.5,Bard,Schlereth,Papelbon,3:02,N,37311,1.18,5,,2011,2011-05-18,1,FALSE,Wednesday
43,"Thursday, May 19",BOS,H,DET,W-wo,4,3,,23-20,3,1.5,Papelbon,Alburquerque,,3:08,N,37660,1.2,6,,2011,2011-05-19,1,FALSE,Thursday
44,"Friday, May 20",BOS,H,CHC,W,15,5,,24-20,2,0.5,Lester,Davis,Atchison,3:35,N,37140,1.25,7,,2011,2011-05-20,1,FALSE,Friday
45,"Saturday, May 21",BOS,H,CHC,L,3,9,,24-21,3,0.5,Marshall,Albers,,3:51,N,37798,1.26,-1,,2011,2011-05-21,1,FALSE,Saturday
46,"Sunday, May 22",BOS,H,CHC,W,5,1,,25-21,3,0.5,Wakefield,Russell,,2:44,N,37688,1.26,1,,2011,2011-05-22,1,FALSE,Sunday
54,"Monday, May 30",BOS,H,CHW,L,3,7,,30-24,1,Tied,Peavy,Lester,,3:24,N,37463,1.43,-2,,2011,2011-05-30,1,FALSE,Monday
55,"Tuesday, May 31",BOS,H,CHW,L,7,10,,30-25,2,1.0,Humber,Aceves,Sale,2:51,N,37269,1.49,-3,,2011,2011-05-31,1,FALSE,Tuesday
56,"Wednesday, Jun 1",BOS,H,CHW,L,4,7,,30-26,2,2.0,Floyd,Albers,Santos,2:53,D,37321,1.38,-4,,2011,2011-06-01,1,FALSE,Wednesday
57,"Friday, Jun 3",BOS,H,OAK,W,8,6,,31-26,2,1.0,Jenks,Devine,Papelbon,3:35,N,37808,1.38,1,,2011,2011-06-03,1,FALSE,Friday
58,"Saturday, Jun 4",BOS,H,OAK,W-wo,9,8,14,32-26,2,1.0,Aceves,Moscoso,,5:17,D,37485,1.36,2,,2011,2011-06-04,1,FALSE,Saturday
59,"Sunday, Jun 5",BOS,H,OAK,W,6,3,,33-26,2,1.0,Lackey,Anderson,Bard,2:50,D,37796,1.43,3,,2011,2011-06-05,1,FALSE,Sunday
69,"Friday, Jun 17",BOS,H,MIL,W,10,4,,42-27,1,up 2.5,Lackey,Estrada,,3:06,N,37833,1.28,3,,2011,2011-06-17,1,FALSE,Friday
70,"Saturday, Jun 18",BOS,H,MIL,L,2,4,,42-28,1,up 1.5,Wolf,Lester,Axford,2:48,N,38175,1.27,-1,,2011,2011-06-18,1,FALSE,Saturday
71,"Sunday, Jun 19",BOS,H,MIL,W,12,3,,43-28,1,up 1.5,Wakefield,Gallardo,,2:37,D,37903,1.37,1,,2011,2011-06-19,1,FALSE,Sunday
72,"Monday, Jun 20",BOS,H,SDP,W,14,5,,44-28,1,up 1.5,Albers,Luebke,,3:40,N,38020,1.37,2,,2011,2011-06-20,1,FALSE,Monday
73,"Tuesday, Jun 21",BOS,H,SDP,L,4,5,,44-29,1,up 1.0,Qualls,Wheeler,Bell,3:42,N,38422,1.35,-1,,2011,2011-06-21,1,FALSE,Tuesday
74,"Wednesday, Jun 22",BOS,H,SDP,L,1,5,8,44-30,1,up 0.5,Richard,Lackey,,2:49,D,37419,1.42,-2,,2011,2011-06-22,1,FALSE,Wednesday
84,"Monday, Jul 4",BOS,H,TOR,L,7,9,,49-35,2,1.5,Morrow,Lackey,Francisco,3:37,D,38072,1.5,-1,,2011,2011-07-04,1,FALSE,Monday
85,"Tuesday, Jul 5",BOS,H,TOR,W,3,2,,50-35,2,1.5,Albers,Cecil,Papelbon,2:38,N,37745,1.7,1,,2011,2011-07-05,1,FALSE,Tuesday
86,"Wednesday, Jul 6",BOS,H,TOR,W,6,4,,51-35,2,0.5,Wakefield,Romero,Papelbon,2:39,N,37404,1.57,2,,2011,2011-07-06,1,FALSE,Wednesday
87,"Thursday, Jul 7",BOS,H,BAL,W,10,4,,52-35,1,up 0.5,Miller,Arrieta,,3:05,N,37981,1.4,3,,2011,2011-07-07,1,FALSE,Thursday
88,"Friday, Jul 8",BOS,H,BAL,W,10,3,,53-35,1,up 1.0,Beckett,Britton,,3:16,N,37729,1.36,4,,2011,2011-07-08,1,FALSE,Friday
89,"Saturday, Jul 9",BOS,H,BAL,W,4,0,,54-35,1,up 1.0,Lackey,Simón,,2:48,N,38205,1.34,5,,2011,2011-07-09,1,FALSE,Saturday
90,"Sunday, Jul 10",BOS,H,BAL,W,8,6,,55-35,1,up 1.0,Aceves,Guthrie,Papelbon,3:26,D,37688,1.21,6,,2011,2011-07-10,1,FALSE,Sunday
97,"Friday, Jul 22",BOS,H,SEA,W,7,4,,60-37,1,up 2.0,Lackey,Hernández,Papelbon,2:53,N,38048,0.91,2,,2011,2011-07-22,1,FALSE,Friday
98,"Saturday, Jul 23",BOS,H,SEA,W,3,1,,61-37,1,up 3.0,Beckett,Beavan,Papelbon,3:15,N,38115,0.78,3,,2011,2011-07-23,1,FALSE,Saturday
99,"Sunday, Jul 24",BOS,H,SEA,W,12,8,,62-37,1,up 3.0,Wakefield,Pineda,,3:01,D,37650,0.68,4,,2011,2011-07-24,1,FALSE,Sunday
100,"Monday, Jul 25",BOS,H,KCR,L,1,3,14,62-38,1,up 2.0,Coleman,Williams,Soria,4:28,N,37727,0.62,-1,,2011,2011-07-25,1,FALSE,Monday
101,"Tuesday, Jul 26",BOS,H,KCR,W,13,9,,63-38,1,up 2.0,Aceves,Adcock,,3:52,N,37460,0.71,1,,2011,2011-07-26,1,FALSE,Tuesday
102,"Wednesday, Jul 27",BOS,H,KCR,W,12,5,,64-38,1,up 3.0,Lackey,Chen,,3:08,N,38329,0.6,2,,2011,2011-07-27,1,FALSE,Wednesday
103,"Thursday, Jul 28",BOS,H,KCR,L,3,4,,64-39,1,up 2.5,Hochevar,Beckett,Soria,2:51,D,37822,0.55,-1,,2011,2011-07-28,1,FALSE,Thursday
107,"Monday, Aug 1",BOS,H,CLE,L,6,9,,66-41,1,up 1.0,Pérez,Bard,,3:11,N,37943,0.56,-1,,2011,2011-08-01,1,FALSE,Monday
108,"Tuesday, Aug 2",BOS,H,CLE,W-wo,3,2,,67-41,1,up 1.0,Papelbon,Pestano,,3:08,N,38101,0.68,1,,2011,2011-08-02,1,FALSE,Tuesday
109,"Wednesday, Aug 3",BOS,H,CLE,W-wo,4,3,,68-41,1,up 1.0,Papelbon,Smith,,3:01,N,38172,0.64,2,,2011,2011-08-03,1,FALSE,Wednesday
110,"Thursday, Aug 4",BOS,H,CLE,L,3,7,,68-42,1,Tied,Masterson,Morales,,3:22,N,38477,0.51,-1,,2011,2011-08-04,1,FALSE,Thursday
111,"Friday, Aug 5",BOS,H,NYY,L,2,3,,68-43,2,1.0,Logan,Lester,Rivera,3:26,N,38006,0.83,-2,,2011,2011-08-05,1,FALSE,Friday
112,"Saturday, Aug 6",BOS,H,NYY,W,10,4,,69-43,1,Tied,Lackey,Sabathia,,3:25,D,37416,0.99,1,,2011,2011-08-06,1,FALSE,Saturday
113,"Sunday, Aug 7",BOS,H,NYY,W-wo,3,2,10,70-43,1,up 1.0,Bard,Hughes,,4:15,N,38189,0.79,2,,2011,2011-08-07,1,FALSE,Sunday
120,"Tuesday, Aug 16 (1)",BOS,H,TBR,W,3,1,,74-46,2,0.5,Lester,Shields,Papelbon,2:24,D,38525,0.82,1,2011-04-13 (Rain),2011,2011-08-16,1,TRUE,Tuesday
121,"Tuesday, Aug 16 (2)",BOS,H,TBR,L,2,6,,74-47,2,0.5,Niemann,Bédard,,3:02,N,38278,0.66,-1,,2011,2011-08-16,2,TRUE,Tuesday
122,"Wednesday, Aug 17",BOS,H,TBR,L,0,4,,74-48,2,0.5,Price,Lackey,,3:00,D,37747,0.86,-2,,2011,2011-08-17,1,FALSE,Wednesday
131,"Friday, Aug 26",BOS,H,OAK,L,5,15,,80-51,1,up 1.0,Gonzalez,Wakefield,,3:36,N,38239,0.39,-1,,2011,2011-08-26,1,FALSE,Friday
132,"Saturday, Aug 27 (1)",BOS,H,OAK,W,9,3,,81-51,1,up 2.0,Lester,Moscoso,,3:06,D,37314,0.43,1,,2011,2011-08-27,1,TRUE,Saturday
133,"Saturday, Aug 27 (2)",BOS,H,OAK,W,4,0,,82-51,1,up 2.0,Aceves,Godfrey,,3:06,N,37039,0.38,2,2011-08-28 (Hurricane Irene),2011,2011-08-27,2,TRUE,Saturday
134,"Tuesday, Aug 30",BOS,H,NYY,L,2,5,,82-52,1,up 0.5,Sabathia,Lackey,Rivera,3:59,N,37773,0.64,-1,,2011,2011-08-30,1,FALSE,Tuesday
135,"Wednesday, Aug 31",BOS,H,NYY,W,9,5,,83-52,1,up 1.5,Beckett,Hughes,,3:16,N,38021,0.68,1,,2011,2011-08-31,1,FALSE,Wednesday
136,"Thursday, Sep 1",BOS,H,NYY,L,2,4,,83-53,1,up 0.5,Wade,Aceves,Rivera,4:21,N,38074,0.61,-1,,2011,2011-09-01,1,FALSE,Thursday
137,"Friday, Sep 2",BOS,H,TEX,L,0,10,,83-54,2,0.5,Holland,Miller,,2:48,N,38083,0.42,-2,,2011,2011-09-02,1,FALSE,Friday
138,"Saturday, Sep 3",BOS,H,TEX,W,12,7,,84-54,2,0.5,Bédard,Lewis,,3:44,D,37806,0.46,1,,2011,2011-09-03,1,FALSE,Saturday
139,"Sunday, Sep 4",BOS,H,TEX,L,4,11,,84-55,2,1.5,Harrison,Lackey,,3:28,D,37744,0.42,-1,,2011,2011-09-04,1,FALSE,Sunday
147,"Tuesday, Sep 13",BOS,H,TOR,W,18,6,,86-61,2,4.0,Wakefield,Morrow,,3:07,N,38020,1.56,1,,2011,2011-09-13,1,FALSE,Tuesday
148,"Wednesday, Sep 14",BOS,H,TOR,L,4,5,,86-62,2,4.0,Romero,Bard,Francisco,2:57,D,37087,1.16,-1,,2011,2011-09-14,1,FALSE,Wednesday
149,"Thursday, Sep 15",BOS,H,TBR,L,2,9,,86-63,2,4.5,Hellickson,Weiland,,3:25,N,38071,2.18,-2,,2011,2011-09-15,1,FALSE,Thursday
150,"Friday, Sep 16",BOS,H,TBR,W,4,3,,87-63,2,3.5,Beckett,Shields,Papelbon,3:32,N,38019,3.3,1,,2011,2011-09-16,1,FALSE,Friday
151,"Saturday, Sep 17",BOS,H,TBR,L,3,4,,87-64,2,4.5,Niemann,Lester,Peralta,3:12,D,37682,2.12,-1,,2011,2011-09-17,1,FALSE,Saturday
152,"Sunday, Sep 18",BOS,H,TBR,L,5,8,,87-65,2,4.5,McGee,Wakefield,Peralta,3:53,D,37613,3.34,-2,,2011,2011-09-18,1,FALSE,Sunday
153,"Monday, Sep 19 (1)",BOS,H,BAL,L,5,6,,87-66,2,5.0,Guthrie,Weiland,Johnson,2:50,D,37885,2.71,-3,2011-05-17 (Rain),2011,2011-09-19,1,TRUE,Monday
154,"Monday, Sep 19 (2)",BOS,H,BAL,W,18,9,,88-66,2,5.0,Atchison,Matusz,,3:55,N,37261,3.15,1,,2011,2011-09-19,2,TRUE,Monday
155,"Tuesday, Sep 20",BOS,H,BAL,L,5,7,,88-67,2,6.0,Eyre,Bard,Johnson,3:36,N,37414,2.77,-1,,2011,2011-09-20,1,FALSE,Tuesday
156,"Wednesday, Sep 21",BOS,H,BAL,L,4,6,,88-68,2,7.5,Rapada,Beckett,Johnson,2:59,N,38004,3.3,-2,,2011,2011-09-21,1,FALSE,Wednesday
7,"Friday, Apr 13",BOS,H,TBR,W,12,2,,2-5,5,2.0,Beckett,Price,,3:19,D,37032,0.92,1,,2012,2012-04-13,1,FALSE,Friday
8,"Saturday, Apr 14",BOS,H,TBR,W,13,5,,3-5,5,2.0,Buchholz,Badenhop,,3:18,D,38024,0.94,2,,2012,2012-04-14,1,FALSE,Saturday
9,"Sunday, Apr 15",BOS,H,TBR,W,6,4,,4-5,4,1.0,Padilla,Moore,Aceves,3:12,D,38024,1,3,,2012,2012-04-15,1,FALSE,Sunday
10,"Monday, Apr 16",BOS,H,TBR,L,0,1,,4-6,5,2.0,Shields,Bard,Rodney,3:08,D,38108,1.06,-1,,2012,2012-04-16,1,FALSE,Monday
11,"Tuesday, Apr 17",BOS,H,TEX,L,3,18,,4-7,5,3.0,Lewis,Lester,,3:25,N,38229,0.87,-2,,2012,2012-04-17,1,FALSE,Tuesday
12,"Wednesday, Apr 18",BOS,H,TEX,L,3,6,,4-8,5,3.0,Holland,Beckett,,3:03,N,37967,0.82,-3,,2012,2012-04-18,1,FALSE,Wednesday
13,"Friday, Apr 20",BOS,H,NYY,L,2,6,,4-9,5,3.5,Nova,Buchholz,,3:18,D,36770,0.86,-4,,2012,2012-04-20,1,FALSE,Friday
14,"Saturday, Apr 21",BOS,H,NYY,L,9,15,,4-10,5,4.5,Soriano,Aceves,,3:52,D,37839,0.83,-5,,2012,2012-04-21,1,FALSE,Saturday
22,"Monday, Apr 30",BOS,H,OAK,W,11,6,,11-11,5,3.5,Buchholz,Milone,,3:23,N,37359,0.89,1,,2012,2012-04-30,1,FALSE,Monday
23,"Tuesday, May 1",BOS,H,OAK,L,3,5,,11-12,5,4.5,Parker,Doubront,Norberto,3:31,N,37225,0.93,-1,,2012,2012-05-01,1,FALSE,Tuesday
24,"Wednesday, May 2",BOS,H,OAK,L,2,4,,11-13,5,5.5,McCarthy,Bard,Fuentes,3:22,N,37434,0.86,-2,,2012,2012-05-02,1,FALSE,Wednesday
25,"Friday, May 4",BOS,H,BAL,L,4,6,13,11-14,5,7.0,Patton,Morales,Johnson,4:37,N,37223,0.87,-3,,2012,2012-05-04,1,FALSE,Friday
26,"Saturday, May 5",BOS,H,BAL,L,2,8,,11-15,5,7.0,Hammel,Cook,,2:56,D,37581,0.77,-4,,2012,2012-05-05,1,FALSE,Saturday
27,"Sunday, May 6",BOS,H,BAL,L,6,9,17,11-16,5,7.5,Davis,McDonald,,6:07,D,37394,0.73,-5,,2012,2012-05-06,1,FALSE,Sunday
31,"Thursday, May 10",BOS,H,CLE,L,3,8,,12-19,5,7.5,Lowe,Beckett,,3:11,N,37348,0.56,-3,,2012,2012-05-10,1,FALSE,Thursday
32,"Friday, May 11",BOS,H,CLE,W,7,5,,13-19,5,7.5,Buchholz,Jiménez,Aceves,3:57,N,37438,0.5,1,,2012,2012-05-11,1,FALSE,Friday
33,"Saturday, May 12",BOS,H,CLE,W,4,1,,14-19,5,7.5,Doubront,McAllister,Aceves,2:30,N,38048,0.55,2,,2012,2012-05-12,1,FALSE,Saturday
34,"Sunday, May 13",BOS,H,CLE,W,12,1,,15-19,5,6.5,Bard,Masterson,,2:37,D,37611,0.58,3,,2012,2012-05-13,1,FALSE,Sunday
35,"Monday, May 14",BOS,H,SEA,W,6,1,,16-19,5,5.5,Lester,Vargas,,2:25,N,37334,0.63,4,,2012,2012-05-14,1,FALSE,Monday
36,"Tuesday, May 15",BOS,H,SEA,W,5,0,,17-19,5,5.5,Beckett,Beavan,,2:53,D,37292,0.67,5,,2012,2012-05-15,1,FALSE,Tuesday
45,"Friday, May 25",BOS,H,TBR,L,4,7,,22-23,5,6.5,Cobb,Lester,Rodney,3:25,N,37594,0.99,-1,,2012,2012-05-25,1,FALSE,Friday
46,"Saturday, May 26",BOS,H,TBR,W-wo,3,2,,23-23,5,5.5,Hill,Rodney,,3:00,N,38099,0.93,1,,2012,2012-05-26,1,FALSE,Saturday
47,"Sunday, May 27",BOS,H,TBR,L,3,4,,23-24,5,5.5,McGee,Aceves,Rodney,3:22,D,37844,1,-1,,2012,2012-05-27,1,FALSE,Sunday
48,"Monday, May 28",BOS,H,DET,W,7,4,,24-24,5,4.5,Doubront,Fister,,2:37,D,37921,0.81,1,,2012,2012-05-28,1,FALSE,Monday
49,"Tuesday, May 29",BOS,H,DET,W,6,3,,25-24,5,3.5,Bard,Verlander,Aceves,3:15,N,37216,0.87,2,,2012,2012-05-29,1,FALSE,Tuesday
50,"Wednesday, May 30",BOS,H,DET,W,6,4,,26-24,5,2.5,Albers,Dotel,Aceves,3:04,N,37195,0.95,3,,2012,2012-05-30,1,FALSE,Wednesday
51,"Thursday, May 31",BOS,H,DET,L,3,7,,26-25,5,3.0,Scherzer,Beckett,,3:23,N,37629,1.05,-1,,2012,2012-05-31,1,FALSE,Thursday
55,"Tuesday, Jun 5",BOS,H,BAL,L,6,8,10,28-27,5,3.0,Johnson,Aceves,,3:34,N,37181,1.22,-2,,2012,2012-06-05,1,FALSE,Tuesday
56,"Wednesday, Jun 6",BOS,H,BAL,L,1,2,,28-28,5,4.0,Chen,Beckett,Johnson,2:31,N,37243,1.17,-3,,2012,2012-06-06,1,FALSE,Wednesday
57,"Thursday, Jun 7",BOS,H,BAL,W,7,0,,29-28,5,3.0,Buchholz,Matusz,,2:50,N,37307,1.02,1,,2012,2012-06-07,1,FALSE,Thursday
58,"Friday, Jun 8",BOS,H,WSN,L,4,7,,29-29,5,4.0,Strasburg,Doubront,Clippard,3:13,N,37309,0.96,-1,,2012,2012-06-08,1,FALSE,Friday
59,"Saturday, Jun 9",BOS,H,WSN,L,2,4,,29-30,5,5.0,Gonzalez,Matsuzaka,Clippard,2:53,D,37534,0.85,-2,,2012,2012-06-09,1,FALSE,Saturday
60,"Sunday, Jun 10",BOS,H,WSN,L,3,4,,29-31,5,6.0,Gorzelanny,Aceves,Clippard,3:06,D,37467,0.77,-3,,2012,2012-06-10,1,FALSE,Sunday
67,"Tuesday, Jun 19",BOS,H,MIA,W,7,5,,34-33,5,7.0,Buchholz,Buehrle,Aceves,2:53,N,37701,0.7,3,,2012,2012-06-19,1,FALSE,Tuesday
68,"Wednesday, Jun 20",BOS,H,MIA,W,15,5,,35-33,4,6.0,Doubront,Nolasco,,3:14,N,37362,0.77,4,,2012,2012-06-20,1,FALSE,Wednesday
69,"Thursday, Jun 21",BOS,H,MIA,W,6,5,,36-33,4,5.5,Atchison,Mujica,Aceves,3:09,N,37261,0.83,5,,2012,2012-06-21,1,FALSE,Thursday
70,"Friday, Jun 22",BOS,H,ATL,L,1,4,,36-34,4,5.5,Jurrjens,Lester,Kimbrel,2:55,N,37281,0.95,-1,,2012,2012-06-22,1,FALSE,Friday
71,"Saturday, Jun 23",BOS,H,ATL,W,8,4,,37-34,4,5.5,Morales,Delgado,,3:03,N,37782,0.84,1,,2012,2012-06-23,1,FALSE,Saturday
72,"Sunday, Jun 24",BOS,H,ATL,W,9,4,,38-34,4,5.5,Cook,Minor,,2:55,D,37565,0.94,2,,2012,2012-06-24,1,FALSE,Sunday
73,"Monday, Jun 25",BOS,H,TOR,L,6,9,,38-35,4,6.5,Álvarez,Doubront,Janssen,3:01,N,37208,1.05,-1,,2012,2012-06-25,1,FALSE,Monday
74,"Tuesday, Jun 26",BOS,H,TOR,W,5,1,,39-35,4,6.5,Miller,Pérez,,3:02,N,37755,0.95,1,,2012,2012-06-26,1,FALSE,Tuesday
75,"Wednesday, Jun 27",BOS,H,TOR,W,10,4,,40-35,3,6.5,Lester,Romero,,2:40,D,37744,1.04,2,,2012,2012-06-27,1,FALSE,Wednesday
83,"Friday, Jul 6",BOS,H,NYY,L,8,10,,42-41,4,8.5,Logan,Miller,Soriano,3:59,N,38066,1.12,-4,,2012,2012-07-06,1,FALSE,Friday
84,"Saturday, Jul 7 (1)",BOS,H,NYY,L,1,6,,42-42,4,8.5,García,Morales,,3:07,D,38170,0.96,-5,2012-04-22 (Rain),2012,2012-07-07,1,TRUE,Saturday
85,"Saturday, Jul 7 (2)",BOS,H,NYY,W,9,5,,43-42,4,8.5,Doubront,Hughes,,3:36,N,37791,0.8,1,,2012,2012-07-07,2,TRUE,Saturday
86,"Sunday, Jul 8",BOS,H,NYY,L,3,7,,43-43,4,9.5,Nova,Lester,,4:02,N,38270,0.89,-1,,2012,2012-07-08,1,FALSE,Sunday
90,"Monday, Jul 16",BOS,H,CHW,W,5,1,,46-44,3,9.5,Padilla,Séptimo,,2:40,N,38334,0.77,2,,2012,2012-07-16,1,FALSE,Monday
91,"Tuesday, Jul 17",BOS,H,CHW,L,5,7,,46-45,4,10.5,Humber,Lester,Reed,3:06,N,37771,0.93,-1,,2012,2012-07-17,1,FALSE,Tuesday
92,"Wednesday, Jul 18",BOS,H,CHW,W,10,1,,47-45,3,10.5,Doubront,Hernández,,2:50,N,37367,0.75,1,,2012,2012-07-18,1,FALSE,Wednesday
93,"Thursday, Jul 19",BOS,H,CHW,W-wo,3,1,,48-45,3,9.5,Aceves,Thornton,,2:47,N,38413,0.83,2,,2012,2012-07-19,1,FALSE,Thursday
94,"Friday, Jul 20",BOS,H,TOR,L,1,6,,48-46,4,9.5,Laffey,Beckett,,3:01,N,38093,0.89,-1,,2012,2012-07-20,1,FALSE,Friday
95,"Saturday, Jul 21",BOS,H,TOR,L,3,7,,48-47,4,9.5,Villanueva,Cook,,3:04,N,38170,0.81,-2,,2012,2012-07-21,1,FALSE,Saturday
96,"Sunday, Jul 22",BOS,H,TOR,L,7,15,,48-48,5,9.5,Álvarez,Lester,,3:28,D,37737,0.77,-3,,2012,2012-07-22,1,FALSE,Sunday
