gm,date,tm,home_away,opp,result,r,ra,inn,record,rank,gb,win,loss,save,time,day_night,attendance,c_li,streak,orig_scheduled,year,ymd,game_num,is_double_header,dotw
83,"Tuesday, Jul 7",BOS,H,OAK,W,5,2,,50-33,1,up 1.0,Beckett,Eveland,Papelbon,3:13,N,37676,1.46,1,,2009,2009-07-07,1,FALSE,Tuesday
84,"Wednesday, Jul 8",BOS,H,OAK,W,5,4,,51-33,1,up 1.0,Wakefield,Cahill,Papelbon,3:03,N,37981,1.46,2,,2009,2009-07-08,1,FALSE,Wednesday
85,"Thursday, Jul 9",BOS,H,KCR,L,6,8,,51-34,1,Tied,Hochevar,Masterson,Soria,3:32,N,38189,1.46,-1,,2009,2009-07-09,1,FALSE,Thursday
86,"Friday, Jul 10",BOS,H,KCR,W,1,0,,52-34,1,up 1.0,Lester,Bannister,Papelbon,2:29,N,38116,1.48,1,,2009,2009-07-10,1,FALSE,Friday
87,"Saturday, Jul 11",BOS,H,KCR,W,15,9,,53-34,1,up 2.0,Smoltz,Meche,,3:44,N,37825,1.47,2,,2009,2009-07-11,1,FALSE,Saturday
88,"Sunday, Jul 12",BOS,H,KCR,W,6,0,,54-34,1,up 3.0,Beckett,Chen,,2:52,D,37612,1.38,3,,2009,2009-07-12,1,FALSE,Sunday
95,"Friday, Jul 24",BOS,H,BAL,W,3,1,,56-39,2,2.5,Penny,Bergesen,Papelbon,2:53,N,38058,1.76,1,,2009,2009-07-24,1,FALSE,Friday
96,"Saturday, Jul 25",BOS,H,BAL,W,7,2,,57-39,2,1.5,Lester,Guthrie,,2:32,N,38063,1.74,2,,2009,2009-07-25,1,FALSE,Saturday
97,"Sunday, Jul 26",BOS,H,BAL,L,2,6,,57-40,2,2.5,Hernandez,Smoltz,,2:38,D,37606,1.7,-1,,2009,2009-07-26,1,FALSE,Sunday
98,"Monday, Jul 27",BOS,H,OAK,W,8,3,,58-40,2,2.5,Beckett,Cahill,,2:56,N,37955,1.79,1,,2009,2009-07-27,1,FALSE,Monday
99,"Tuesday, Jul 28",BOS,H,OAK,L,8,9,11,58-41,2,2.5,Breslow,Delcarmen,Bailey,4:08,N,38084,1.61,-1,,2009,2009-07-28,1,FALSE,Tuesday
100,"Wednesday, Jul 29",BOS,H,OAK,L,6,8,,58-42,2,3.5,Anderson,Penny,Bailey,3:18,N,38193,1.74,-2,,2009,2009-07-29,1,FALSE,Wednesday
101,"Thursday, Jul 30",BOS,H,OAK,W,8,5,,59-42,2,2.5,Delcarmen,Breslow,Papelbon,3:17,D,37919,1.77,1,,2009,2009-07-30,1,FALSE,Thursday
111,"Monday, Aug 10",BOS,H,DET,W,6,5,,63-48,2,5.5,Ramírez,Miner,Papelbon,3:25,N,37960,1.87,1,,2009,2009-08-10,1,FALSE,Monday
112,"Tuesday, Aug 11",BOS,H,DET,W,7,5,,64-48,2,5.5,Tazawa,Lambert,,3:11,N,38013,1.96,2,,2009,2009-08-11,1,FALSE,Tuesday
113,"Wednesday, Aug 12",BOS,H,DET,W,8,2,,65-48,2,5.5,Beckett,Miner,,2:57,N,38124,2.04,3,,2009,2009-08-12,1,FALSE,Wednesday
114,"Thursday, Aug 13",BOS,H,DET,L,0,2,,65-49,2,6.5,Verlander,Buchholz,Rodney,2:44,D,37556,1.94,-1,,2009,2009-08-13,1,FALSE,Thursday
121,"Friday, Aug 21",BOS,H,NYY,L,11,20,,69-52,2,7.5,Pettitte,Penny,,3:57,N,37869,2.12,-1,,2009,2009-08-21,1,FALSE,Friday
122,"Saturday, Aug 22",BOS,H,NYY,W,14,1,,70-52,2,6.5,Tazawa,Burnett,,3:17,D,37277,2.13,1,,2009,2009-08-22,1,FALSE,Saturday
123,"Sunday, Aug 23",BOS,H,NYY,L,4,8,,70-53,2,7.5,Sabathia,Beckett,,3:13,N,38008,2.06,-1,,2009,2009-08-23,1,FALSE,Sunday
124,"Monday, Aug 24",BOS,H,CHW,W,12,8,,71-53,2,7.0,Ramírez,Contreras,,3:42,N,37812,2.01,1,,2009,2009-08-24,1,FALSE,Monday
125,"Tuesday, Aug 25",BOS,H,CHW,W,6,3,,72-53,2,6.0,Delcarmen,Linebrink,Papelbon,3:05,N,38059,1.97,2,,2009,2009-08-25,1,FALSE,Tuesday
126,"Wednesday, Aug 26",BOS,H,CHW,W-wo,3,2,,73-53,2,6.0,Bard,Peña,,2:29,N,37839,2.07,3,,2009,2009-08-26,1,FALSE,Wednesday
127,"Thursday, Aug 27",BOS,H,CHW,L,5,9,,73-54,2,6.0,Danks,Tazawa,,3:04,N,38003,2,-1,,2009,2009-08-27,1,FALSE,Thursday
128,"Friday, Aug 28",BOS,H,TOR,W,6,5,,74-54,2,6.0,Okajima,Tallet,Papelbon,3:40,N,37844,2.09,1,,2009,2009-08-28,1,FALSE,Friday
129,"Saturday, Aug 29",BOS,H,TOR,W,3,2,,75-54,2,6.0,Buchholz,Romero,Papelbon,3:13,N,37452,2.03,2,,2009,2009-08-29,1,FALSE,Saturday
130,"Sunday, Aug 30",BOS,H,TOR,W,7,0,,76-54,2,6.0,Byrd,Halladay,,2:38,D,37560,1.97,3,,2009,2009-08-30,1,FALSE,Sunday
138,"Tuesday, Sep 8",BOS,H,BAL,W,10,0,,80-58,2,9.0,Buchholz,Hernandez,,2:42,N,37647,1.79,1,,2009,2009-09-08,1,FALSE,Tuesday
139,"Wednesday, Sep 9",BOS,H,BAL,W,7,5,,81-58,2,9.0,Wagner,Albers,Papelbon,3:41,N,37712,1.94,2,,2009,2009-09-09,1,FALSE,Wednesday
140,"Saturday, Sep 12",BOS,H,TBR,W,9,1,5,82-58,2,7.5,Beckett,Davis,,1:44,N,37755,2.07,3,,2009,2009-09-12,1,FALSE,Saturday
141,"Sunday, Sep 13 (1)",BOS,H,TBR,W,3,1,,83-58,2,7.0,Okajima,Garza,Papelbon,2:45,D,38228,1.61,4,2009-09-11 (Rain),2009,2009-09-13,1,TRUE,Sunday
142,"Sunday, Sep 13 (2)",BOS,H,TBR,W,4,0,,84-58,2,7.0,Lester,Shields,,2:35,N,37271,1.38,5,,2009,2009-09-13,2,TRUE,Sunday
143,"Tuesday, Sep 15",BOS,H,LAA,W,4,1,,85-58,2,6.5,Matsuzaka,Lackey,,2:44,N,37942,0.89,6,,2009,2009-09-15,1,FALSE,Tuesday
144,"Wednesday, Sep 16",BOS,H,LAA,W-wo,9,8,,86-58,2,6.5,Bard,Fuentes,,4:07,N,37706,0.57,7,,2009,2009-09-16,1,FALSE,Wednesday
145,"Thursday, Sep 17",BOS,H,LAA,L,3,4,,86-59,2,7.0,Jepsen,Wagner,Fuentes,2:38,N,38157,0.26,-1,,2009,2009-09-17,1,FALSE,Thursday
156,"Monday, Sep 28",BOS,H,TOR,L,5,11,7,91-65,2,9.5,Richmond,Bowden,,2:22,N,37591,0.01,-4,,2009,2009-09-28,1,FALSE,Monday
157,"Tuesday, Sep 29",BOS,H,TOR,L,7,8,,91-66,2,10.5,Romero,Buchholz,Frasor,3:11,N,37618,0,-5,,2009,2009-09-29,1,FALSE,Tuesday
158,"Wednesday, Sep 30",BOS,H,TOR,L,0,12,,91-67,2,10.5,Halladay,Wakefield,,2:38,N,37246,0,-6,,2009,2009-09-30,1,FALSE,Wednesday
159,"Thursday, Oct 1",BOS,H,CLE,W,3,0,,92-67,2,10.0,Lester,Carrasco,Papelbon,2:45,N,37459,0,1,,2009,2009-10-01,1,FALSE,Thursday
160,"Friday, Oct 2",BOS,H,CLE,W,6,2,,93-67,2,9.0,Matsuzaka,Sowers,,3:25,N,37787,0,2,,2009,2009-10-02,1,FALSE,Friday
161,"Saturday, Oct 3",BOS,H,CLE,W,11,6,,94-67,2,8.0,Beckett,Laffey,,2:50,N,37562,0,3,,2009,2009-10-03,1,FALSE,Saturday
162,"Sunday, Oct 4",BOS,H,CLE,W,12,7,,95-67,2,8.0,Bowden,Ohka,,3:15,D,37247,0,4,,2009,2009-10-04,1,FALSE,Sunday
1,"Sunday, Apr 4",BOS,H,NYY,W,9,7,,1-0,1,up 0.5,Okajima,Park,Papelbon,3:46,N,37440,1.08,1,,2010,2010-04-04,1,FALSE,Sunday
2,"Tuesday, Apr 6",BOS,H,NYY,L,4,6,,1-1,2,0.5,Aceves,Okajima,Rivera,3:48,N,38000,1.17,-1,,2010,2010-04-06,1,FALSE,Tuesday
3,"Wednesday, Apr 7",BOS,H,NYY,L,1,3,10,1-2,4,1.5,Park,Papelbon,Rivera,3:21,N,38238,1.14,-2,,2010,2010-04-07,1,FALSE,Wednesday
10,"Friday, Apr 16",BOS,H,TBR,L,1,3,12,4-6,4,3.0,Cormier,Delcarmen,Soriano,4:18,N,37084,1.13,-2,,2010,2010-04-16,1,FALSE,Friday
11,"Saturday, Apr 17",BOS,H,TBR,L,5,6,,4-7,4,4.0,Shields,Buchholz,Soriano,3:19,N,37022,0.99,-3,,2010,2010-04-17,1,FALSE,Saturday
12,"Sunday, Apr 18",BOS,H,TBR,L,1,7,,4-8,4,5.0,Garza,Lester,,3:05,D,37143,0.94,-4,,2010,2010-04-18,1,FALSE,Sunday
13,"Monday, Apr 19",BOS,H,TBR,L,2,8,,4-9,4,6.0,Niemann,Lackey,,2:49,D,37609,0.86,-5,,2010,2010-04-19,1,FALSE,Monday
14,"Tuesday, Apr 20",BOS,H,TEX,W-wo,7,6,,5-9,4,5.5,Papelbon,Francisco,,3:46,N,37614,0.74,1,,2010,2010-04-20,1,FALSE,Tuesday
15,"Wednesday, Apr 21",BOS,H,TEX,W-wo,8,7,12,6-9,4,5.5,Okajima,Nippert,,3:49,N,37518,0.73,2,,2010,2010-04-21,1,FALSE,Wednesday
16,"Thursday, Apr 22",BOS,H,TEX,L,0,3,,6-10,4,6.0,Wilson,Buchholz,Oliver,2:58,N,37417,0.78,-1,,2010,2010-04-22,1,FALSE,Thursday
17,"Friday, Apr 23",BOS,H,BAL,W,4,3,,7-10,4,5.0,Delcarmen,Albers,Papelbon,3:35,N,37367,0.72,1,,2010,2010-04-23,1,FALSE,Friday
18,"Saturday, Apr 24",BOS,H,BAL,W,7,6,,8-10,4,5.0,Lackey,Albers,Papelbon,3:08,N,38017,0.79,2,,2010,2010-04-24,1,FALSE,Saturday
19,"Sunday, Apr 25",BOS,H,BAL,L,6,7,10,8-11,4,6.0,Johnson,Atchison,Meredith,3:44,D,37102,0.8,-1,,2010,2010-04-25,1,FALSE,Sunday
